Station,Date,Depth,Parameter,Value,Unit,VQ
38,'10/31/2002',NaN,Dissolved oxygen (DO),5.69,mg/l,NA
38,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
38,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.44,mg/l,NA
24,'10/31/2002',NaN,Phosphorus as P,0.11,mg/l,NA
24,'10/31/2002',NaN,pH,7.76,None,NA
24,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
24,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
24,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",2.51,mg/m3,NA
24,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
24,'10/31/2002',NaN,"Temperature, water",29.7,deg C,NA
24,'10/31/2002',NaN,Dissolved oxygen (DO),4.54,mg/l,NA
24,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.0749,mg/l,NA
24,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.462,mg/l,NA
24,'10/31/2002',NaN,Salinity,33.7,ppth,NA
31,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.204,mg/l,NA
31,'10/31/2002',NaN,Turbidity,30,NTU,NA
31,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.1,mg/l,NA
31,'10/31/2002',NaN,Salinity,NaN,ppth,NA
31,'10/31/2002',NaN,Phosphorus as P,0.079,mg/l,NA
31,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",2.77,mg/m3,NA
31,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
31,'10/31/2002',NaN,pH,7.41,None,NA
31,'10/31/2002',NaN,Dissolved oxygen (DO),2.3,mg/l,NA
31,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
31,'10/31/2002',NaN,"Temperature, water",29,deg C,NA
39,'10/31/2002',NaN,"Nitrogen, Kjeldahl",NaN,mg/l,NA
39,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
39,'10/31/2002',NaN,Dissolved oxygen (DO),5.11,mg/l,NA
39,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
39,'10/31/2002',NaN,Phosphorus as P,0.0715,mg/l,NA
39,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
39,'10/31/2002',NaN,"Temperature, water",31.2,deg C,NA
39,'10/31/2002',NaN,Salinity,35.2,ppth,NA
39,'10/31/2002',NaN,pH,7.88,None,NA
39,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
39,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.43,mg/m3,NA
32,'10/31/2002',NaN,Phosphorus as P,NaN,mg/l,NA
32,'10/31/2002',NaN,Salinity,NaN,ppth,NA
32,'10/31/2002',NaN,Salinity,NaN,ppth,NA
32,'10/31/2002',NaN,Dissolved oxygen (DO),0.98,mg/l,NA
32,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.964,mg/l,NA
32,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.272,mg/l,NA
32,'10/31/2002',NaN,Phosphorus as P,NaN,mg/l,NA
32,'10/31/2002',NaN,"Temperature, water",27.6,deg C,NA
32,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.265,mg/l,NA
32,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
32,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
32,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
32,'10/31/2002',NaN,Dissolved oxygen (DO),1.23,mg/l,NA
32,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",0.75,mg/m3,NA
32,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.03,mg/l,NA
32,'10/31/2002',NaN,pH,7.07,None,NA
32,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
32,'10/31/2002',NaN,pH,7.17,None,NA
32,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",0.99,mg/m3,NA
32,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
32,'10/31/2002',NaN,"Temperature, water",27.4,deg C,NA
32,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
28,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",4.92,mg/m3,NA
28,'10/31/2002',NaN,"Temperature, water",29,deg C,NA
28,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.08,mg/l,NA
28,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.411,mg/l,NA
28,'10/31/2002',NaN,Phosphorus as P,NaN,mg/l,NA
28,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.131,mg/l,NA
28,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
28,'10/31/2002',NaN,Salinity,NaN,ppth,NA
28,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
28,'10/31/2002',NaN,Dissolved oxygen (DO),5.55,mg/l,NA
28,'10/31/2002',NaN,pH,7.53,None,NA
27,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
27,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.333,mg/l,NA
27,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.14,mg/l,NA
27,'10/31/2002',NaN,Salinity,NaN,ppth,NA
27,'10/31/2002',NaN,pH,7.72,None,NA
27,'10/31/2002',NaN,Dissolved oxygen (DO),6.28,mg/l,NA
27,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",21.7,mg/m3,NA
27,'10/31/2002',NaN,Turbidity,2.1,NTU,NA
27,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
27,'10/31/2002',NaN,"Temperature, water",30.3,deg C,NA
27,'10/31/2002',NaN,Phosphorus as P,0.0947,mg/l,NA
26,'10/31/2002',NaN,Salinity,25.2,ppth,NA
26,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.8,mg/l,NA
26,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
26,'10/31/2002',NaN,Dissolved oxygen (DO),4.8,mg/l,NA
26,'10/31/2002',NaN,Phosphorus as P,0.12,mg/l,NA
26,'10/31/2002',NaN,"Temperature, water",29.9,deg C,NA
26,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
26,'10/31/2002',NaN,pH,7.61,None,NA
26,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",5.83,mg/m3,NA
26,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.154,mg/l,NA
26,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
25,'10/31/2002',NaN,"Temperature, water",29.7,deg C,NA
25,'10/31/2002',NaN,Dissolved oxygen (DO),4.24,mg/l,NA
25,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.638,mg/l,NA
25,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
25,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",4.41,mg/m3,NA
25,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
25,'10/31/2002',NaN,Salinity,28.2,ppth,NA
25,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.126,mg/l,NA
25,'10/31/2002',NaN,Phosphorus as P,0.097,mg/l,NA
25,'10/31/2002',NaN,pH,7.55,None,NA
25,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.0679,mg/l,NA
29,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.38,mg/l,NA
29,'10/31/2002',NaN,Turbidity,2.3,NTU,NA
29,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.312,mg/l,NA
29,'10/31/2002',NaN,Phosphorus as P,0.0586,mg/l,NA
29,'10/31/2002',NaN,Dissolved oxygen (DO),4.65,mg/l,NA
29,'10/31/2002',NaN,Salinity,NaN,ppth,NA
29,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
29,'10/31/2002',NaN,pH,7.32,None,NA
29,'10/31/2002',NaN,"Temperature, water",28.1,deg C,NA
29,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",6.12,mg/m3,NA
29,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.0414,mg/l,NA
23,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
23,'10/31/2002',NaN,pH,7.42,None,NA
23,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.83,mg/m3,NA
23,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.48,mg/l,NA
23,'10/31/2002',NaN,Dissolved oxygen (DO),3.76,mg/l,NA
23,'10/31/2002',NaN,"Temperature, water",27.7,deg C,NA
23,'10/31/2002',NaN,Salinity,NaN,ppth,NA
23,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.289,mg/l,NA
23,'10/31/2002',NaN,Phosphorus as P,0.0498,mg/l,NA
23,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
23,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
16,'10/31/2002',NaN,"Temperature, water",30.9,deg C,NA
16,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
16,'10/31/2002',NaN,pH,7.39,None,NA
16,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
16,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.12,mg/l,NA
16,'10/31/2002',NaN,Salinity,11.8,ppth,NA
16,'10/31/2002',NaN,Phosphorus as P,0.139,mg/l,NA
16,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",2.96,mg/m3,NA
16,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
16,'10/31/2002',NaN,Dissolved oxygen (DO),6.08,mg/l,NA
16,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.211,mg/l,NA
15,'10/31/2002',NaN,Dissolved oxygen (DO),5.24,mg/l,NA
15,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.235,mg/l,NA
15,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.04,mg/m3,NA
15,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
15,'10/31/2002',NaN,pH,7.53,None,NA
15,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
15,'10/31/2002',NaN,Phosphorus as P,0.112,mg/l,NA
15,'10/31/2002',NaN,"Temperature, water",30.3,deg C,NA
15,'10/31/2002',NaN,Salinity,20.4,ppth,NA
15,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.781,mg/l,NA
15,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.0734,mg/l,NA
22,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.586,mg/l,NA
22,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
22,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
22,'10/31/2002',NaN,Dissolved oxygen (DO),1.8,mg/l,NA
22,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",7.55,mg/m3,NA
22,'10/31/2002',NaN,pH,7.39,None,NA
22,'10/31/2002',NaN,"Temperature, water",28.8,deg C,NA
22,'10/31/2002',NaN,Phosphorus as P,0.051,mg/l,NA
22,'10/31/2002',NaN,Turbidity,1.8,NTU,NA
22,'10/31/2002',NaN,Salinity,NaN,ppth,NA
22,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.58,mg/l,NA
21,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
21,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
21,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.0605,mg/l,NA
21,'10/31/2002',NaN,Dissolved oxygen (DO),5.95,mg/l,NA
21,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.36,mg/l,NA
21,'10/31/2002',NaN,pH,7.54,None,NA
21,'10/31/2002',NaN,"Temperature, water",28.8,deg C,NA
21,'10/31/2002',NaN,Phosphorus as P,0.0575,mg/l,NA
21,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.39,mg/m3,NA
21,'10/31/2002',NaN,Salinity,NaN,ppth,NA
21,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
20,'10/31/2002',NaN,"Temperature, water",31.2,deg C,NA
20,'10/31/2002',NaN,Phosphorus as P,0.0895,mg/l,NA
20,'10/31/2002',NaN,Dissolved oxygen (DO),5.46,mg/l,NA
20,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
20,'10/31/2002',NaN,Salinity,8.25,ppth,NA
20,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
20,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
20,'10/31/2002',NaN,pH,7.51,None,NA
20,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.272,mg/l,NA
20,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.33,mg/l,NA
20,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.87,mg/m3,NA
19,'10/31/2002',NaN,Turbidity,NaN,NTU,NA
19,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.1,mg/l,NA
19,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
19,'10/31/2002',NaN,Salinity,15.2,ppth,NA
19,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
19,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.297,mg/l,NA
19,'10/31/2002',NaN,Phosphorus as P,0.0998,mg/l,NA
19,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.03,mg/m3,NA
19,'10/31/2002',NaN,pH,7.53,None,NA
19,'10/31/2002',NaN,"Temperature, water",31.1,deg C,NA
19,'10/31/2002',NaN,Dissolved oxygen (DO),5.16,mg/l,NA
18,'10/31/2002',NaN,pH,8.3,None,NA
18,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
18,'10/31/2002',NaN,Phosphorus as P,0.056,mg/l,NA
18,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
18,'10/31/2002',NaN,Turbidity,2.8,NTU,NA
18,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
18,'10/31/2002',NaN,"Nitrogen, Kjeldahl",0.831,mg/l,NA
18,'10/31/2002',NaN,"Temperature, water",30.2,deg C,NA
18,'10/31/2002',NaN,Salinity,NaN,ppth,NA
18,'10/31/2002',NaN,Dissolved oxygen (DO),13.4,mg/l,NA
18,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",7.65,mg/m3,NA
17,'10/31/2002',NaN,Phosphorus as P,0.0706,mg/l,NA
17,'10/31/2002',NaN,Turbidity,2.2,NTU,NA
17,'10/31/2002',NaN,"Nitrogen, Kjeldahl",1.05,mg/l,NA
17,'10/31/2002',NaN,Dissolved oxygen (DO),11.9,mg/l,NA
17,'10/31/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.248,mg/l,NA
17,'10/31/2002',NaN,pH,7.85,None,NA
17,'10/31/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
17,'10/31/2002',NaN,"Temperature, water",29.6,deg C,NA
17,'10/31/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
17,'10/31/2002',NaN,"Chlorophyll a, corrected for pheophytin",8.96,mg/m3,NA
4,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",10.4,mg/m3,NA
33,'10/30/2002',NaN,Dissolved oxygen (DO),6.43,mg/l,NA
33,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
33,'10/30/2002',NaN,Salinity,29.5,ppth,NA
33,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.0632,mg/l,NA
33,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
33,'10/30/2002',NaN,"Nitrogen, Kjeldahl",0.513,mg/l,NA
33,'10/30/2002',NaN,pH,7.84,None,NA
33,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
33,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",7.91,mg/m3,NA
33,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
33,'10/30/2002',NaN,Salinity,29.5,ppth,NA
33,'10/30/2002',NaN,pH,7.84,None,NA
33,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
33,'10/30/2002',NaN,"Nitrogen, Kjeldahl",0.425,mg/l,NA
33,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",8.12,mg/m3,NA
33,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
33,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
33,'10/30/2002',NaN,Dissolved oxygen (DO),6.43,mg/l,NA
33,'10/30/2002',NaN,"Temperature, water",29.2,deg C,NA
33,'10/30/2002',NaN,Phosphorus as P,0.117,mg/l,NA
33,'10/30/2002',NaN,Phosphorus as P,0.109,mg/l,NA
33,'10/30/2002',NaN,"Temperature, water",29.2,deg C,NA
110,'10/30/2002',NaN,"Temperature, water",28.5,deg C,NA
110,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
110,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
110,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
110,'10/30/2002',NaN,pH,7.56,None,NA
110,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
110,'10/30/2002',NaN,Salinity,NaN,ppth,NA
110,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",8.35,mg/m3,NA
110,'10/30/2002',NaN,Phosphorus as P,0.0504,mg/l,NA
110,'10/30/2002',NaN,Dissolved oxygen (DO),8.4,mg/l,NA
110,'10/30/2002',NaN,"Nitrogen, Kjeldahl",0.56,mg/l,NA
109,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
109,'10/30/2002',NaN,Salinity,NaN,ppth,NA
109,'10/30/2002',NaN,"Nitrogen, Kjeldahl",1.19,mg/l,NA
109,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
109,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",4.42,mg/m3,NA
109,'10/30/2002',NaN,Dissolved oxygen (DO),9.06,mg/l,NA
109,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.0377,mg/l,NA
109,'10/30/2002',NaN,Phosphorus as P,0.0686,mg/l,NA
109,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
109,'10/30/2002',NaN,pH,7.56,None,NA
109,'10/30/2002',NaN,"Temperature, water",29.7,deg C,NA
3,'10/30/2002',NaN,Dissolved oxygen (DO),4,mg/l,NA
3,'10/30/2002',NaN,Salinity,NaN,ppth,NA
3,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",10.3,mg/m3,NA
3,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
3,'10/30/2002',NaN,pH,7.49,None,NA
3,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",0.133,mg/l,NA
3,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.0552,mg/l,NA
3,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
3,'10/30/2002',NaN,"Temperature, water",28.6,deg C,NA
3,'10/30/2002',NaN,"Nitrogen, Kjeldahl",1.23,mg/l,NA
3,'10/30/2002',NaN,Phosphorus as P,0.0876,mg/l,NA
2,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",NaN,mg/l,NA
2,'10/30/2002',NaN,"Nitrogen, Kjeldahl",0.929,mg/l,NA
2,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
2,'10/30/2002',NaN,Dissolved oxygen (DO),5.72,mg/l,NA
2,'10/30/2002',NaN,pH,7.83,None,NA
2,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
2,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
2,'10/30/2002',NaN,"Temperature, water",29.3,deg C,NA
2,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",6.13,mg/m3,NA
2,'10/30/2002',NaN,Salinity,NaN,ppth,NA
2,'10/30/2002',NaN,Phosphorus as P,0.0768,mg/l,NA
6,'10/30/2002',NaN,"Chlorophyll a, corrected for pheophytin",1.4,mg/m3,NA
6,'10/30/2002',NaN,"Nitrogen, ammonia (NH3) + ammonium (NH4)",NaN,mg/l,NA
6,'10/30/2002',NaN,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",0.119,mg/l,NA
6,'10/30/2002',NaN,Turbidity,NaN,NTU,NA
6,'10/30/2002',NaN,pH,8.01,None,NA
6,'10/30/2002',NaN,"Phosphorus, orthophosphate as P",NaN,mg/l,NA
6,'10/30/2002',NaN,"Temperature, water",29,deg C,NA
