"","DEP.Result.ID","Activity.ID","year","month","day","time","Activity.Start.Date.Time","lat_deg","lat_min","Org.Decimal.Latitude","lon_deg","lon_min","Org.Decimal.Longitude","Monitoring.Location.ID","Activity.Type","Activity.Depth","Activity.Depth.Unit","Activity.Depth.Top.Bottom.Unit","Sample.Collection.Type","Activity.Top.Depth","Activity.Bottom.Depth","Value.Qualifier","Result.Comments","DEP.Analyte.Name","DEP.Result.Value.Number","DEP.Result.Unit","program","RowID","ProgramID","ProgramName","Habitat","IndicatorID","IndicatorName","ParameterID","ParameterName","ParameterUnits","ProgramLocationID","AreaID","ManagedAreaName","Region","ActivityType","SampleDate","ResultValue","Year","Month","ActivityDepth_m","RelativeDepth","TotalDepth_m","MDL","PQL","DetectionUnit","ValueQualifier","ValueQualifierSource","SampleFraction","ResultComments","OriginalLatitude","OriginalLongitude","SEACAR_QAQCFlagCode","SEACAR_QAQC_Description","Include","SEACAR_EventID","MADup","ExportVersion","data_source","CLIENT SAMPLE ID","LAB SAMPLE ID","MATRIX","COLLECTED","ANALYTE","SAMPLE RESULT","REPORTING LIMIT","UNITS","METHOD","DILUTION","ANALYZED","PREPARED","source_file","SAMPLE COLLECTION DATE","Organization.ID","Org.Latitude..DD.MM.SS.SSSS.","Org.Longitude..DD.MM.SS.SSSS.","WBID","Matrix","Sampling.Agency.Name","DEP.Result.Value.Text","DEP.MDL","DEP.PQL","Sample.Fraction","Lab.ID","Audit.Censored.Decisions"
"...11",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.06,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","32","35854186004","Water","01/16/2024","Nitrogen, Ammonia","0.060","0.050","mg/L","350.1 Ammonia","1","01/22/2024","01/22/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...12",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.037,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","33","35854186005","Water","01/16/2024","Nitrogen, Ammonia","0.037","0.050","mg/L","350.1 Ammonia","1","01/22/2024","01/22/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...13",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","34","35854186009","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...14",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","35","35854186016","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...15",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.14,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","36","35854186015","Water","01/16/2024","Nitrogen, Ammonia","0.14","0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...16",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.069,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","37","35854186014","Water","01/16/2024","Nitrogen, Ammonia","0.069","0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...17",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","38","35854186013","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...18",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","39","35854186012","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...19",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","40","35854186011","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...20",NA,NA,NA,NA,NA,NA,"01/16/2024 12:00:00",NA,NA,NA,NA,NA,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","41","35854186010","Water","01/16/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/23/2024","01/23/2024","Results 1-16-2024.xls","1-16-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...21",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.057,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","1","35854474001","Water","01/17/2024","Nitrogen, Ammonia","0.057","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...22",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.037,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","2","35854474002","Water","01/17/2024","Nitrogen, Ammonia","0.037","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...23",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3b",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.047,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3b","35854474003","Water","01/17/2024","Nitrogen, Ammonia","0.047","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...24",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.044,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","3","35854474004","Water","01/17/2024","Nitrogen, Ammonia","0.044","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...25",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","4","35854474005","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...26",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","5","35854474006","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...27",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.093,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","6","35854474007","Water","01/17/2024","Nitrogen, Ammonia","0.093","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...28",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","7","35854474008","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...29",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.037,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","8","35854474009","Water","01/17/2024","Nitrogen, Ammonia","0.037","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...30",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","9","35854474010","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...31",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","10","35854474011","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...32",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","11","35854474012","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...33",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",0.1,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","12","35854474013","Water","01/17/2024","Nitrogen, Ammonia","0.10","0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...34",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","13","35854474014","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"...35",NA,NA,NA,NA,NA,NA,"01/17/2024 12:00:00",NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nitrogen__Ammonia",NA,"mg/L","MiamiBeach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"excel","14","35854474015","Water","01/17/2024","Nitrogen, Ammonia",NA,"0.050","mg/L","350.1 Ammonia","1","01/24/2024","01/24/2024","Results 1-17-2024.xls","1-17-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
