"","source","site","datetime","value","units","latitude","longitude","sample_depth"
"...97","BBAP","CWA2","09/16/2024 12:05:00",0.033,"mg/L",25.7513,-80.1585,0.159
"...98","BBAP","JT66","07/02/2024 11:15:00",0.004,"mg/L",25.8165,-80.147,0.781
"...99","BBAP","CWA4","02/19/2024 10:20:00",0.02,"mg/L",25.758,-80.1677,0.905
"...100","BBAP","BH22","03/18/2024 09:20:00",0.005,"mg/L",25.7597,-80.1776,0.308
"...101","BBAP","LR03","05/06/2024 14:10:00",0.044,"mg/L",25.8468,-80.1829,0.916
"...102","BBAP","VR01","11/18/2024 15:15:00",0.006,"mg/L",25.8057,-80.1526,0.614
"...103","BBAP","CWA2","11/04/2024 14:25:00",0.013,"mg/L",25.7513,-80.1585,0.535
"...104","BBAP","JT71","08/09/2023 10:50:00",0.008,"mg/L",25.8217,-80.1513,0.134
"...105","BBAP","JT71","11/07/2023 10:25:00",0.005,"mg/L",25.8217,-80.1513,0.668
"...106","BBAP","BB14","11/07/2023 10:45:00",0.006,"mg/L",25.83,-80.1586,0.634
"...107","BBAP","DM08","11/06/2023 08:30:00",0.025,"mg/L",25.8398,-80.1704,0.567
"...108","BBAP","BH22","10/23/2023 09:55:00",0.009,"mg/L",25.7597,-80.1776,0.391
"...109","BBAP","MRSC","12/11/2023 11:15:00",0.24,"mg/L",25.8072,-80.2599,0.276
"...110","BBAP","DM08","10/10/2023 11:35:00",0.032,"mg/L",25.8398,-80.1704,0.226
"...111","BBAP","CWA2","10/23/2023 09:00:00",0.022,"mg/L",25.7513,-80.1585,0.539
"...112","BBAP","LR03","09/06/2023 08:45:00",0.3,"mg/L",25.8468,-80.1829,0.105
"...113","BBAP","JT61","12/05/2023 07:20:00",0.035,"mg/L",25.8169,-80.1782,0.887
"...114","BBAP","DM08","09/06/2023 07:40:00",0.058,"mg/L",25.8398,-80.1704,0.565
"...115","BBAP","LR03","11/06/2023 09:00:00",0.077,"mg/L",25.8468,-80.1829,0.183
"...116","BBAP","JT71","01/10/2024 15:00:00",0.004,"mg/L",25.8217,-80.1513,0.327
"...117","BBAP","VR01","02/07/2024 11:20:00",0.003,"mg/L",25.8057,-80.1526,0.993
"...118","BBAP","BH22","08/28/2023 12:25:00",0.005,"mg/L",25.7597,-80.1776,0.199
"...119","BBAP","CWA2","12/11/2023 11:35:00",0.006,"mg/L",25.7513,-80.1585,0.158
"...120","BBAP","JFK03","02/05/2024 11:35:00",0.006,"mg/L",25.8628,-80.1697,0.219
"...121","BBAP","BH22","12/11/2023 12:10:00",0.006,"mg/L",25.7597,-80.1776,0.597
"...122","BBAP","CWA2","09/25/2023 10:15:00",0.018,"mg/L",25.7513,-80.1585,0.218
"...123","BBAP","JT66","02/07/2024 12:40:00",0.002,"mg/L",25.8165,-80.147,0.693
"...124","BBAP","JFK03","12/05/2023 09:35:00",0.02,"mg/L",25.8628,-80.1697,0.758
"...125","BBAP","LR03","02/05/2024 10:40:00",0.092,"mg/L",25.8468,-80.1829,0.152
"...126","BBAP","JFK03","10/10/2023 13:25:00",0.024,"mg/L",25.8628,-80.1697,0.822
"...127","BBAP","DM08","02/05/2024 10:15:00",0.018,"mg/L",25.8398,-80.1704,0.053
"...128","BBAP","JT66","01/10/2024 13:50:00",0.008,"mg/L",25.8165,-80.147,0.792
"...129","BBAP","LR03","01/08/2024 11:50:00",0.14,"mg/L",25.8468,-80.1829,0.783
"...130","BBAP","MRSC","08/28/2023 11:45:00",0.27,"mg/L",25.8072,-80.2599,0.156
"...131","BBAP","JT66","03/05/2024 10:05:00",0.009,"mg/L",25.8165,-80.147,0.697
"...132","BBAP","RB1A","06/19/2024 13:40:00",0.021,"mg/L",25.7524,-80.1954,0.725
"...133","BBAP","JT71","09/04/2024 16:00:00",0.007,"mg/L",25.8217,-80.1513,0.422
"...134","BBAP","WQ04","02/11/2025 14:20:00",0.009,"mg/L",25.826,-80.1341,0.942
"...135","BBAP","VR01","04/02/2024 08:35:00",0.003,"mg/L",25.8057,-80.1526,0.668
"...136","BBAP","RB1A","04/18/2024 12:10:00",0.007,"mg/L",25.7524,-80.1954,0.888
"...137","BBAP","MRSC","02/25/2025 11:10:00",0.17,"mg/L",25.8072,-80.2599,0.785
"...138","BBAP","DM08","11/12/2024 10:40:00",0.021,"mg/L",25.8398,-80.1704,0.029
"...139","BBAP","DM08","10/01/2024 13:35:00",0.014,"mg/L",25.8398,-80.1704,0.043
"...140","BBAP","JT61","07/01/2024 10:05:00",0.046,"mg/L",25.8169,-80.1782,0.706
"...141","BBAP","BB14","04/02/2024 10:15:00",0.005,"mg/L",25.83,-80.1586,0.502
"...142","BBAP","WQ01","02/11/2025 13:50:00",0.01,"mg/L",25.849,-80.1716,0.755
"...143","BBAP","MRSC","07/15/2024 09:15:00",0.17,"mg/L",25.8072,-80.2599,0.197
"...144","BBAP","BB14","05/07/2024 14:55:00",0.006,"mg/L",25.83,-80.1586,0.686
"...145","BBAP","CWA5","07/15/2024 08:10:00",0.016,"mg/L",25.7633,-80.1609,0.686
"...146","BBAP","BH22","09/16/2024 13:00:00",0.019,"mg/L",25.7597,-80.1776,0.537
"...147","BBAP","VR01","09/04/2024 14:45:00",0.013,"mg/L",25.8057,-80.1526,0.482
"...148","BBAP","CWA2","03/18/2024 08:40:00",0.015,"mg/L",25.7513,-80.1585,0.148
"...149","BBAP","JT66","09/04/2024 15:45:00",0.013,"mg/L",25.8165,-80.147,0.397
"...150","BBAP","BB14","07/30/2024 12:15:00",0.012,"mg/L",25.83,-80.1586,0.094
"...151","BBAP","VR01","06/17/2024 10:45:00",0.02,"mg/L",25.8057,-80.1526,0.202
"...152","BBAP","CWA2","07/15/2024 08:35:00",0.013,"mg/L",25.7513,-80.1585,0.066
"...153","BBAP","CWA5","02/25/2025 10:05:00",0.007,"mg/L",25.7633,-80.1609,0.772
"...154","BBAP","JT61","05/06/2024 12:50:00",0.021,"mg/L",25.8169,-80.1782,0.598
"...155","BBAP","BB14","09/04/2024 16:15:00",0.008,"mg/L",25.83,-80.1586,0.076
"...156","BBAP","DM08","09/03/2024 14:30:00",0.055,"mg/L",25.8398,-80.1704,0.152
"...157","BBAP","DM08","06/11/2024 06:35:00",0.065,"mg/L",25.8398,-80.1704,0.093
"...158","BBAP","JT71","01/08/2025 10:00:00",0.002,"mg/L",25.8217,-80.1513,0.565
"...159","BBAP","MRSC","04/18/2024 11:15:00",0.028,"mg/L",25.8072,-80.2599,0.076
"...160","BBAP","JT66","07/30/2024 11:20:00",0.016,"mg/L",25.8165,-80.147,0.407
"...161","BBAP","RB1A","03/18/2024 10:30:00",0.005,"mg/L",25.7524,-80.1954,0.766
"...162","BBAP","LR03","07/01/2024 12:40:00",0.32,"mg/L",25.8468,-80.1829,0.121
"...163","BBAP","VR11","04/03/2024 08:50:00",0.014,"mg/L",25.8047,-80.1794,0.912
"...164","BBAP","VR11","05/06/2024 12:20:00",0.011,"mg/L",25.8047,-80.1794,0.802
"...165","BBAP","VR11","11/12/2024 09:50:00",0.022,"mg/L",25.8047,-80.1794,0.784
"...166","BBAP","RB1A","02/25/2025 12:45:00",0.009,"mg/L",25.7524,-80.1954,0.986
"...167","BBAP","JT71","07/30/2024 11:45:00",0.011,"mg/L",25.8217,-80.1513,0.449
"...168","BBAP","CWA5","01/28/2025 12:00:00",0.003,"mg/L",25.7633,-80.1609,0.825
"...169","BBAP","BH22","03/18/2024 09:15:00",0.005,"mg/L",25.7597,-80.1776,0.308
"...170","BBAP","JT61","07/29/2024 08:40:00",0.024,"mg/L",25.8169,-80.1782,0.485
"...171","BBAP","DM08","07/29/2024 09:15:00",0.04,"mg/L",25.8398,-80.1704,0.054
"...172","BBAP","LR03","11/12/2024 11:05:00",0.16,"mg/L",25.8468,-80.1829,0.121
"...173","BBAP","MRSC","01/28/2025 12:45:00",0.051,"mg/L",25.8072,-80.2599,0.535
"...174","BBAP","JFK03","04/03/2024 11:00:00",0.004,"mg/L",25.8628,-80.1697,0.443
"...175","BBAP","BB14","11/18/2024 16:40:00",0.003,"mg/L",25.83,-80.1586,0.609
"...176","BBAP","VR01","01/08/2025 07:55:00",0.003,"mg/L",25.8057,-80.1526,0.666
"...177","BBAP","JFK03","09/03/2024 15:50:00",0.049,"mg/L",25.8628,-80.1697,0.534
"...178","BBAP","LR03","01/07/2020 13:20:00",0.23,"mg/L",25.8468,-80.1829,1
"...179","BBAP","DM08","02/05/2020 11:00:00",0.012,"mg/L",25.8398,-80.1704,1
"...180","BBAP","LR03","08/05/2019 19:05:00",0.35,"mg/L",25.8468,-80.1829,1
"...181","BBAP","JFK03","05/07/2019 19:05:00",0.022,"mg/L",25.8628,-80.1697,1
"...182","BBAP","DM08","12/10/2019 12:35:00",0.005,"mg/L",25.8398,-80.1704,1
"...183","BBAP","JT29","05/06/2019 16:55:00",0.007,"mg/L",25.8398,-80.1417,0.11
"...184","BBAP","DM08","02/14/2019 12:50:00",0.073,"mg/L",25.8398,-80.1704,0.2
"...185","BBAP","LR03","11/05/2019 09:55:00",0.11,"mg/L",25.8468,-80.1829,1
"...186","BBAP","DM28","02/14/2019 12:30:00",0.065,"mg/L",25.8379,-80.1775,0.8
"...187","BBAP","DM08","11/05/2019 09:25:00",0.013,"mg/L",25.8398,-80.1704,1
"...188","BBAP","DM08","01/07/2020 11:20:00",0.067,"mg/L",25.8398,-80.1704,1
"...189","BBAP","DM08","06/30/2019 13:55:00",0.16,"mg/L",25.8398,-80.1704,1
"...190","BBAP","BB14","08/17/2020 15:20:00",0.005,"mg/L",25.83,-80.1586,0.243
"...191","BBAP","DM08","06/04/2019 15:40:00",0.004,"mg/L",25.8398,-80.1704,1
"...192","BBAP","LR03","08/17/2020 16:10:00",0.17,"mg/L",25.8468,-80.1829,0.137
"...193","BBAP","LR03","08/13/2020 12:25:00",0.21,"mg/L",25.8468,-80.1829,0.207
"...194","BBAP","BB14","08/13/2020 11:20:00",0.03,"mg/L",25.83,-80.1586,0.232
"...195","BBAP","DM08","08/13/2020 12:00:00",0.22,"mg/L",25.8398,-80.1704,0.265
"...196","BBAP","FK01","08/13/2020 10:30:00",0.068,"mg/L",25.82006,-80.16591,0.818
"...197","BBAP","JFK03","08/17/2020 16:30:00",0.004,"mg/L",25.8628,-80.1697,0.428
"...198","BBAP","DM00","08/17/2020 15:00:00",0.004,"mg/L",25.83025,-80.16968,0.166
"...199","BBAP","JT61","08/13/2020 09:45:00",0.4,"mg/L",25.8169,-80.1782,0.648
"...200","BBAP","VR11","08/17/2020 13:45:00",0.004,"mg/L",25.8047,-80.1794,0.653
"...201","BBAP","LR03","05/04/2020 12:55:00",0.049,"mg/L",25.8468,-80.1829,0.02
"...202","BBAP","BB14","11/17/2020 15:25:00",0.02,"mg/L",25.83,-80.1586,0.532
"...203","BBAP","VR01","05/05/2020 11:40:00",0.018,"mg/L",25.8057,-80.1526,0.375
"...204","BBAP","LR03","07/07/2020 17:20:00",0.33,"mg/L",25.8468,-80.1829,0.157
"...205","BBAP","JT66","05/05/2020 12:55:00",0.008,"mg/L",25.8165,-80.147,0.282
"...206","BBAP","DM08","11/16/2020 13:50:00",0.083,"mg/L",25.8398,-80.1704,0.149
"...207","BBAP","BB14","05/05/2020 13:40:00",0.007,"mg/L",25.83,-80.1586,0.202
"...208","BBAP","VR01","04/06/2020 11:40:00",0.008,"mg/L",25.8057,-80.1526,0.526
"...209","BBAP","LR03","11/16/2020 14:20:00",0.51,"mg/L",25.8468,-80.1829,0.167
"...210","BBAP","LRUP","10/12/2020 12:40:00",0.062,"mg/L",25.871414,-80.242386,0.773
"...211","BBAP","VR01","10/13/2020 11:00:00",0.018,"mg/L",25.8057,-80.1526,0.512
"...212","BBAP","LRNSP","11/16/2020 15:00:00",1.5,"mg/L",25.889928,-80.242964,0.604
"...213","BBAP","LR03","09/01/2020 14:00:00",0.13,"mg/L",25.8468,-80.1829,0.193
"...214","BBAP","VR01","09/02/2020 14:15:00",0.012,"mg/L",25.8057,-80.1526,0.688
"...215","BBAP","LRSP","11/16/2020 16:35:00",1.6,"mg/L",25.8757,-80.234877,0.741
"...216","BBAP","LR03","08/26/2020 11:05:00",0.13,"mg/L",25.8468,-80.1829,0.194
"...217","BBAP","VR11","06/02/2020 10:05:00",0.03,"mg/L",25.8047,-80.1794,0.754
"...218","BBAP","VR01","09/02/2020 14:05:00",0.014,"mg/L",25.8057,-80.1526,0.688
"...219","BBAP","BB14","08/26/2020 10:15:00",0.005,"mg/L",25.83,-80.1586,0.289
"...220","BBAP","LRSP","10/12/2020 11:40:00",1.4,"mg/L",25.8757,-80.234877,0.797
"...221","BBAP","JFK03","07/07/2020 18:15:00",0.005,"mg/L",25.8628,-80.1697,0.212
"...222","BBAP","VR11","04/07/2020 12:35:00",0.005,"mg/L",25.8047,-80.1794,0.688
"...223","BBAP","BB14","09/02/2020 15:45:00",0.018,"mg/L",25.83,-80.1586,0.659
"...224","BBAP","BB14","10/13/2020 12:55:00",0.022,"mg/L",25.83,-80.1586,0.434
"...225","BBAP","TOW1","06/03/2020 15:00:00",0.028,"mg/L",25.832759,-80.180765,0.5
"...226","BBAP","JT66","04/06/2020 13:00:00",0.006,"mg/L",25.8165,-80.147,0.35
"...227","BBAP","JT71","11/17/2020 15:00:00",0.02,"mg/L",25.8217,-80.1513,0.206
"...228","BBAP","LR06","10/12/2020 10:40:00",0.24,"mg/L",25.853524,-80.19291,0.983
"...229","BBAP","JT66","07/06/2020 17:55:00",0.004,"mg/L",25.8165,-80.147,0.623
"...230","BBAP","JT66","09/02/2020 15:05:00",0.009,"mg/L",25.8165,-80.147,0.512
"...231","BBAP","JT71","05/05/2020 13:15:00",0.008,"mg/L",25.8217,-80.1513,0.219
"...232","BBAP","LRSC","07/07/2020 13:30:00",0.11,"mg/L",25.849525,-80.188332,0.509
"...233","BBAP","WQ01","07/07/2020 17:55:00",0.004,"mg/L",25.849,-80.1716,0.873
"...234","BBAP","JFK03","08/26/2020 11:35:00",0.008,"mg/L",25.8628,-80.1697,0.31
"...235","BBAP","DM08","06/02/2020 11:15:00",0.064,"mg/L",25.8398,-80.1704,0.183
"...236","BBAP","JT71","07/06/2020 17:30:00",0.006,"mg/L",25.8217,-80.1513,0.176
"...237","BBAP","JT61","06/02/2020 10:35:00",0.036,"mg/L",25.8169,-80.1782,0.703
"...238","BBAP","JT71","09/02/2020 15:25:00",0.012,"mg/L",25.8217,-80.1513,0.547
"...239","BBAP","LR03","10/12/2020 10:15:00",0.17,"mg/L",25.8468,-80.1829,0.211
"...240","BBAP","LRUP","11/16/2020 15:45:00",0.31,"mg/L",25.871414,-80.242386,0.673
"...241","BBAP","JFK03","09/01/2020 14:50:00",0.004,"mg/L",25.8628,-80.1697,0.736
"...242","BBAP","LR06","07/07/2020 13:00:00",0.34,"mg/L",25.853524,-80.19291,0.909
"...243","BBAP","LR05","09/01/2020 16:35:00",0.4,"mg/L",25.871488,-80.231037,0.56
"...244","BBAP","VR11","07/07/2020 15:20:00",0.004,"mg/L",25.8047,-80.1794,0.709
"...245","BBAP","JFK03","11/16/2020 15:20:00",0.027,"mg/L",25.8628,-80.1697,0.587
"...246","BBAP","VR01","11/17/2020 13:45:00",0.032,"mg/L",25.8057,-80.1526,0.673
"...247","BBAP","BB14","04/06/2020 14:05:00",0.007,"mg/L",25.83,-80.1586,0.222
"...248","BBAP","BB14","07/06/2020 17:15:00",0.006,"mg/L",25.83,-80.1586,0.18
"...249","BBAP","JFK03","05/04/2020 13:45:00",0.008,"mg/L",25.8628,-80.1697,0.161
"...250","BBAP","JT61","07/07/2020 15:35:00",0.004,"mg/L",25.8169,-80.1782,0.754
"...251","BBAP","BB14","04/06/2020 13:45:00",0.006,"mg/L",25.83,-80.1586,0.222
"...252","BBAP","JT61","04/07/2020 13:00:00",0.005,"mg/L",25.8169,-80.1782,0.68
"...253","BBAP","LR03","06/02/2020 11:45:00",0.41,"mg/L",25.8468,-80.1829,0.117
"...254","BBAP","TOW3","06/03/2020 16:10:00",0.093,"mg/L",25.835063,-80.180414,0.25
"...255","BBAP","DM08","05/04/2020 12:05:00",0.041,"mg/L",25.8398,-80.1704,0.036
"...256","BBAP","DM28","04/07/2020 13:30:00",0.007,"mg/L",25.8379,-80.1775,0.242
"...257","BBAP","JT61","08/26/2020 09:05:00",0.011,"mg/L",25.8169,-80.1782,0.641
"...258","BBAP","VR11","11/16/2020 13:00:00",0.074,"mg/L",25.8047,-80.1794,0.99
"...259","BBAP","LR03","04/07/2020 14:25:00",0.006,"mg/L",25.8468,-80.1829,0.002
"...260","BBAP","JT66","11/17/2020 14:30:00",0.027,"mg/L",25.8165,-80.147,0.852
"...261","BBAP","JFK03","11/16/2020 15:10:00",0.028,"mg/L",25.8628,-80.1697,0.587
"...262","BBAP","VR11","05/04/2020 10:25:00",0.014,"mg/L",25.8047,-80.1794,0.767
"...263","BBAP","JT71","10/13/2020 12:35:00",0.015,"mg/L",25.8217,-80.1513,0.143
"...264","BBAP","DM08","04/07/2020 13:55:00",0.008,"mg/L",25.8398,-80.1704,0.018
"...265","BBAP","DM08","10/12/2020 10:00:00",0.039,"mg/L",25.8398,-80.1704,0.239
"...266","BBAP","VR01","07/06/2020 14:50:00",0.006,"mg/L",25.8057,-80.1526,0.671
"...267","BBAP","JFK03","10/12/2020 11:15:00",0.017,"mg/L",25.8628,-80.1697,0.761
"...268","BBAP","JT66","10/13/2020 12:15:00",0.022,"mg/L",25.8165,-80.147,0.425
"...269","BBAP","DM08","08/26/2020 10:45:00",0.007,"mg/L",25.8398,-80.1704,0.262
"...270","BBAP","JFK03","04/07/2020 15:30:00",0.004,"mg/L",25.8628,-80.1697,0.237
"...271","BBAP","JT61","05/04/2020 10:50:00",0.019,"mg/L",25.8169,-80.1782,0.564
"...272","BBAP","DM08","07/07/2020 16:55:00",0.059,"mg/L",25.8398,-80.1704,0.112
"...273","BBAP","JT71","04/06/2020 13:25:00",0.007,"mg/L",25.8217,-80.1513,0.342
