"","source","site","datetime","analyte","value","units","latitude","longitude","sample_depth"
"48322","SFER","RP1","01/24/2022 20:28:00","Dissolved_Oxygen__CTD_",7.35,"mg/L",26.5466,-82.2149,0
"48342","SFER","RP2","01/24/2022 20:56:00","Dissolved_Oxygen__CTD_",7.174,"mg/L",26.5528,-82.255,0
"48362","SFER","RP3","01/24/2022 21:33:00","Dissolved_Oxygen__CTD_",7.215,"mg/L",26.5515,-82.332,0
"48382","SFER","RP4","01/24/2022 22:48:00","Dissolved_Oxygen__CTD_",7.043,"mg/L",26.5759,-82.4984,0
"48402","SFER","GP5","01/25/2022 00:12:00","Dissolved_Oxygen__CTD_",6.803,"mg/L",26.5956,-82.6958,0
"48422","SFER","BG4","01/25/2022 01:21:00","Dissolved_Oxygen__CTD_",7.062,"mg/L",26.6299,-82.5568,0
"48442","SFER","BG3","01/25/2022 02:30:00","Dissolved_Oxygen__CTD_",7.286,"mg/L",26.6686,-82.4171,0
"48462","SFER","BG2","01/25/2022 03:12:00","Dissolved_Oxygen__CTD_",7.39,"mg/L",26.6883,-82.3403,0
"48482","SFER","BG1","01/25/2022 04:11:00","Dissolved_Oxygen__CTD_",6.978,"mg/L",26.7196,-82.2475,0
"48502","SFER","V1","01/25/2022 08:20:00","Dissolved_Oxygen__CTD_",6.812,"mg/L",27.1106,-82.4779,0
"48522","SFER","V2","01/25/2022 09:03:00","Dissolved_Oxygen__CTD_",7.147,"mg/L",27.072,-82.5466,0
"48542","SFER","V3","01/25/2022 09:44:00","Dissolved_Oxygen__CTD_",7.145,"mg/L",27.0342,-82.6158,0
"48562","SFER","V4","01/25/2022 10:25:00","Dissolved_Oxygen__CTD_",6.972,"mg/L",26.9939,-82.6853,0
"48582","SFER","V5","01/25/2022 11:05:00","Dissolved_Oxygen__CTD_",6.848,"mg/L",26.9545,-82.7526,0
"48602","SFER","V6","01/25/2022 11:47:00","Dissolved_Oxygen__CTD_",6.741,"mg/L",26.9154,-82.8224,0
"48622","SFER","V7","01/25/2022 12:28:00","Dissolved_Oxygen__CTD_",6.7,"mg/L",26.8769,-82.8891,0
"48642","SFER","V8","01/25/2022 13:08:00","Dissolved_Oxygen__CTD_",6.699,"mg/L",26.8317,-82.9581,0
"48662","SFER","V9","01/25/2022 14:27:00","Dissolved_Oxygen__CTD_",6.553,"mg/L",26.7301,-83.1037,0
"48682","SFER","AMI9","01/25/2022 19:00:00","Dissolved_Oxygen__CTD_",6.6297,"mg/L",27.1894,-83.5052,0
"48702","SFER","AMI8","01/25/2022 20:34:00","Dissolved_Oxygen__CTD_",6.649,"mg/L",27.2286,-83.4112,0
"48722","SFER","AMI7","01/25/2022 21:48:00","Dissolved_Oxygen__CTD_",6.667,"mg/L",27.2673,-83.3172,0
"48742","SFER","AMI6","01/25/2022 23:10:00","Dissolved_Oxygen__CTD_",6.83,"mg/L",27.3102,-83.221,0
"48782","SFER","AMI3","01/26/2022 02:13:00","Dissolved_Oxygen__CTD_",7.104,"mg/L",27.4213,-82.9394,0
"48802","SFER","AMI2","01/26/2022 03:20:00","Dissolved_Oxygen__CTD_",7.296,"mg/L",27.4593,-82.8453,0
"48822","SFER","AMI1","01/26/2022 04:20:00","Dissolved_Oxygen__CTD_",7.322,"mg/L",27.4972,-82.7508,0
"48832","SFER","TB1","01/26/2022 07:02:00","Dissolved_Oxygen__CTD_",7.31,"mg/L",27.802,-82.8819,0
"48852","SFER","TB2","01/26/2022 07:48:00","Dissolved_Oxygen__CTD_",7.216,"mg/L",27.7403,-82.9289,0
"48872","SFER","TB3","01/26/2022 08:43:00","Dissolved_Oxygen__CTD_",7.185,"mg/L",27.6717,-83.0007,0
"48892","SFER","TB4","01/26/2022 09:53:00","Dissolved_Oxygen__CTD_",7.022,"mg/L",27.6175,-83.1353,0
"489110","SFER","TB5","01/26/2022 11:06:00","Dissolved_Oxygen__CTD_",6.913,"mg/L",27.617,-83.3014,0
"48932","SFER","TB10","01/26/2022 12:24:00","Dissolved_Oxygen__CTD_",6.828,"mg/L",27.6162,-83.4891,0
"48952","SFER","CAL6","01/27/2022 03:04:00","Dissolved_Oxygen__CTD_",6.653,"mg/L",25.9394,-82.4802,0
"48972","SFER","41","01/27/2022 10:11:00","Dissolved_Oxygen__CTD_",7.105,"mg/L",25.7336,-81.5728,0
"490110","SFER","45","01/27/2022 12:55:00","Dissolved_Oxygen__CTD_",6.983,"mg/L",25.5838,-81.4702,0
"49042","SFER","47","01/27/2022 13:44:00","Dissolved_Oxygen__CTD_",6.975,"mg/L",25.5829,-81.3667,0
"49062","SFER","49","01/27/2022 14:22:00","Dissolved_Oxygen__CTD_",7.159,"mg/L",25.5812,-81.2932,0
"49082","SFER","51","01/27/2022 15:48:00","Dissolved_Oxygen__CTD_",6.914,"mg/L",25.4529,-81.3081,0
"491010","SFER","53","01/27/2022 16:28:00","Dissolved_Oxygen__CTD_",6.991,"mg/L",25.4529,-81.2275,0
"491110","SFER","54","01/27/2022 18:00:00","Dissolved_Oxygen__CTD_",6.898,"mg/L",25.3371,-81.1597,0
"49122","SFER","55","01/27/2022 18:50:00","Dissolved_Oxygen__CTD_",7.209,"mg/L",25.3509,-81.2012,0
"49132","SFER","56","01/27/2022 19:13:00","Dissolved_Oxygen__CTD_",7.119,"mg/L",25.3498,-81.2277,0
"49142","SFER","57","01/27/2022 19:48:00","Dissolved_Oxygen__CTD_",7.164,"mg/L",25.352,-81.2624,0
"49162","SFER","57.1","01/27/2022 20:27:00","Dissolved_Oxygen__CTD_",7.705,"mg/L",25.3513,-81.3359,0
"49182","SFER","57.2","01/27/2022 21:41:00","Dissolved_Oxygen__CTD_",6.998,"mg/L",25.3518,-81.49,0
"49202","SFER","57.3","01/27/2022 23:02:00","Dissolved_Oxygen__CTD_",6.912,"mg/L",25.3478,-81.6492,0
"49222","SFER","58","01/28/2022 00:28:00","Dissolved_Oxygen__CTD_",6.718,"mg/L",25.1664,-81.6517,0
"49252","SFER","60","01/28/2022 02:43:00","Dissolved_Oxygen__CTD_",7.072,"mg/L",25.1663,-81.3364,0
"49292","SFER","64","01/28/2022 04:07:00","Dissolved_Oxygen__CTD_",6.929,"mg/L",25.1656,-81.1597,0
"49302","SFER","65","01/28/2022 05:03:00","Dissolved_Oxygen__CTD_",6.931,"mg/L",25.0966,-81.0975,0
"49332","SFER","68","01/28/2022 06:29:00","Dissolved_Oxygen__CTD_",7.492,"mg/L",24.9306,-81.167,0
"49402","SFER","68","03/14/2022 02:08:00","Dissolved_Oxygen__CTD_",6.1596,"mg/L",24.9294,-81.1676,0
"49432","SFER","65","03/14/2022 03:58:00","Dissolved_Oxygen__CTD_",6.1628,"mg/L",25.0965,-81.0952,0
"49442","SFER","64","03/14/2022 04:55:00","Dissolved_Oxygen__CTD_",6.1579,"mg/L",25.1654,-81.1578,0
"49482","SFER","60","03/14/2022 06:33:00","Dissolved_Oxygen__CTD_",6.2754,"mg/L",25.1651,-81.3423,0
"495110","SFER","58","03/14/2022 08:40:00","Dissolved_Oxygen__CTD_",6.484,"mg/L",25.166,-81.6556,0
"49532","SFER","57.3","03/14/2022 10:37:00","Dissolved_Oxygen__CTD_",6.488,"mg/L",25.3492,-81.6532,0
"49552","SFER","57.2","03/14/2022 11:56:00","Dissolved_Oxygen__CTD_",6.222,"mg/L",25.347,-81.4919,0
"49562","SFER","57.1","03/14/2022 13:07:00","Dissolved_Oxygen__CTD_",6.219,"mg/L",25.3512,-81.3352,0
"49572","SFER","57","03/14/2022 13:59:00","Dissolved_Oxygen__CTD_",6.305,"mg/L",25.3498,-81.2636,0
"49582","SFER","56","03/14/2022 14:25:00","Dissolved_Oxygen__CTD_",6.365,"mg/L",25.3493,-81.2275,0
"49592","SFER","55","03/14/2022 14:49:00","Dissolved_Oxygen__CTD_",6.46,"mg/L",25.3492,-81.1952,0
"49602","SFER","54","03/14/2022 15:32:00","Dissolved_Oxygen__CTD_",6.468,"mg/L",25.3406,-81.1571,0
"496110","SFER","53","03/14/2022 16:56:00","Dissolved_Oxygen__CTD_",6.718,"mg/L",25.4532,-81.2266,0
"49632","SFER","51","03/14/2022 17:38:00","Dissolved_Oxygen__CTD_",6.378,"mg/L",25.4529,-81.3087,0
"49652","SFER","49","03/14/2022 19:08:00","Dissolved_Oxygen__CTD_",6.763,"mg/L",25.5841,-81.2931,0
"49672","SFER","47","03/14/2022 19:45:00","Dissolved_Oxygen__CTD_",6.809,"mg/L",25.5831,-81.3668,0
"49692","SFER","45","03/14/2022 20:42:00","Dissolved_Oxygen__CTD_",6.6662,"mg/L",25.5829,-81.4725,0
"49722","SFER","41","03/14/2022 23:05:00","Dissolved_Oxygen__CTD_",6.7274,"mg/L",25.7335,-81.5752,0
"49762","SFER","31","03/15/2022 04:55:00","Dissolved_Oxygen__CTD_",6.8125,"mg/L",25.7416,-81.944,0
"49792","SFER","33","03/15/2022 07:13:00","Dissolved_Oxygen__CTD_",6.6205,"mg/L",25.9126,-81.8008,0
"49822","SFER","CAL5","03/15/2022 11:16:00","Dissolved_Oxygen__CTD_",6.842,"mg/L",26.1847,-82.2174,0
"49842","SFER","CAL4","03/15/2022 12:13:00","Dissolved_Oxygen__CTD_",6.804,"mg/L",26.2536,-82.139,0
"49862","SFER","CAL3","03/15/2022 13:30:00","Dissolved_Oxygen__CTD_",6.664,"mg/L",26.3419,-82.045,0
"49882","SFER","CAL2","03/15/2022 14:19:00","Dissolved_Oxygen__CTD_",6.594,"mg/L",26.3831,-82.0018,0
"49892","SFER","CAL1","03/15/2022 15:00:00","Dissolved_Oxygen__CTD_",6.727,"mg/L",26.4246,-81.9636,0
"499110","SFER","RP1","03/15/2022 17:31:00","Dissolved_Oxygen__CTD_",6.952,"mg/L",26.547,-82.2157,0
"49932","SFER","RP2","03/15/2022 17:54:00","Dissolved_Oxygen__CTD_",6.909,"mg/L",26.5533,-82.2554,0
"49952","SFER","RP3","03/15/2022 18:32:00","Dissolved_Oxygen__CTD_",6.955,"mg/L",26.5518,-82.3316,0
"49972","SFER","RP4","03/15/2022 19:44:00","Dissolved_Oxygen__CTD_",7.066,"mg/L",26.5787,-82.4977,0
"49992","SFER","GP5","03/15/2022 21:11:00","Dissolved_Oxygen__CTD_",7.1117,"mg/L",26.5952,-82.6829,0
"500110","SFER","BG4","03/15/2022 22:13:00","Dissolved_Oxygen__CTD_",7.0619,"mg/L",26.6305,-82.556,0
"50032","SFER","BG3","03/15/2022 23:24:00","Dissolved_Oxygen__CTD_",6.9438,"mg/L",26.6682,-82.4171,0
"50052","SFER","BG2","03/16/2022 00:05:00","Dissolved_Oxygen__CTD_",7.1025,"mg/L",26.6887,-82.3396,0
"50062","SFER","BG1","03/16/2022 01:11:00","Dissolved_Oxygen__CTD_",6.9886,"mg/L",26.7196,-82.2485,0
"50072","SFER","V1","03/16/2022 05:29:00","Dissolved_Oxygen__CTD_",6.8287,"mg/L",27.1105,-82.4784,0
"50092","SFER","V2","03/16/2022 06:09:00","Dissolved_Oxygen__CTD_",6.9647,"mg/L",27.0721,-82.5474,0
"501110","SFER","V3","03/16/2022 06:56:00","Dissolved_Oxygen__CTD_",6.9887,"mg/L",27.0337,-82.6151,0
"50132","SFER","V4","03/16/2022 07:39:00","Dissolved_Oxygen__CTD_",7.0704,"mg/L",26.9939,-82.684,0
"50152","SFER","V5","03/16/2022 08:29:00","Dissolved_Oxygen__CTD_",7.094,"mg/L",26.9559,-82.752,0
"50172","SFER","V6","03/16/2022 09:12:00","Dissolved_Oxygen__CTD_",7.083,"mg/L",26.9168,-82.8203,0
"50192","SFER","V7","03/16/2022 10:01:00","Dissolved_Oxygen__CTD_",7.0495,"mg/L",26.8796,-82.8864,0
"502110","SFER","V8","03/16/2022 10:48:00","Dissolved_Oxygen__CTD_",6.99,"mg/L",26.8322,-82.9573,0
"50232","SFER","V9","03/16/2022 12:17:00","Dissolved_Oxygen__CTD_",6.911,"mg/L",26.7325,-83.0996,0
"50252","SFER","AMI9","03/16/2022 16:45:00","Dissolved_Oxygen__CTD_",6.953,"mg/L",27.1895,-83.5039,0
"50272","SFER","AMI8","03/16/2022 17:40:00","Dissolved_Oxygen__CTD_",7.048,"mg/L",27.2281,-83.4099,0
"50292","SFER","AMI7","03/16/2022 18:39:00","Dissolved_Oxygen__CTD_",7.012,"mg/L",27.2513,-83.3156,0
"503110","SFER","AMI6","03/16/2022 19:29:00","Dissolved_Oxygen__CTD_",7.089,"mg/L",27.3049,-83.2214,0
"50332","SFER","AMI5","03/16/2022 20:28:00","Dissolved_Oxygen__CTD_",7.1589,"mg/L",27.344,-83.1269,0
"50352","SFER","AMI4","03/16/2022 21:25:00","Dissolved_Oxygen__CTD_",7.1544,"mg/L",27.3828,-83.0316,0
"50372","SFER","AMI3","03/16/2022 22:23:00","Dissolved_Oxygen__CTD_",7.0963,"mg/L",27.4186,-82.942,0
"50392","SFER","AMI2","03/16/2022 23:18:00","Dissolved_Oxygen__CTD_",7.1209,"mg/L",27.4592,-82.844,0
"50402","SFER","AMI1","03/17/2022 00:15:00","Dissolved_Oxygen__CTD_",7.0962,"mg/L",27.4973,-82.7512,0
"504110","SFER","TB1","03/17/2022 03:13:00","Dissolved_Oxygen__CTD_",7.0515,"mg/L",27.8016,-82.8813,0
"50432","SFER","TB2","03/17/2022 03:55:00","Dissolved_Oxygen__CTD_",7.0829,"mg/L",27.7398,-82.9281,0
"50452","SFER","TB3","03/17/2022 04:57:00","Dissolved_Oxygen__CTD_",7.1172,"mg/L",27.6716,-82.9995,0
"50472","SFER","TB4","03/17/2022 06:06:00","Dissolved_Oxygen__CTD_",7.1932,"mg/L",27.6169,-83.1333,0
"50492","SFER","TB5","03/17/2022 07:31:00","Dissolved_Oxygen__CTD_",7.2278,"mg/L",27.6168,-83.3002,0
"505110","SFER","TB10","03/17/2022 09:06:00","Dissolved_Oxygen__CTD_",6.967,"mg/L",27.615,-83.4862,0
"50532","SFER","Glider","03/17/2022 11:48:00","Dissolved_Oxygen__CTD_",6.858,"mg/L",27.6199,-83.8672,0
"50552","SFER","CAL6","03/18/2022 03:51:00","Dissolved_Oxygen__CTD_",6.7608,"mg/L",25.9399,-82.4798,0
"50572","SFER","30","03/18/2022 08:26:00","Dissolved_Oxygen__CTD_",6.638,"mg/L",25.4033,-82.2128,0
"50592","SFER","KW4","03/18/2022 11:54:00","Dissolved_Oxygen__CTD_",6.561,"mg/L",25.0178,-82.0442,0
"50622","SFER","KW2","03/18/2022 14:26:00","Dissolved_Oxygen__CTD_",6.491,"mg/L",24.728,-81.916,0
"50642","SFER","KW1","03/18/2022 15:08:00","Dissolved_Oxygen__CTD_",6.674,"mg/L",24.6543,-81.9034,0
"50702","SFER","WS","03/18/2022 18:27:00","Dissolved_Oxygen__CTD_",6.321,"mg/L",24.4766,-81.7156,0
"50732","SFER","21LK","03/18/2022 21:31:00","Dissolved_Oxygen__CTD_",6.3621,"mg/L",24.533,-81.4152,0
"50762","SFER","16","03/19/2022 00:06:00","Dissolved_Oxygen__CTD_",7.2002,"mg/L",24.6721,-81.2029,0
"50792","SFER","18","03/19/2022 00:50:00","Dissolved_Oxygen__CTD_",6.4008,"mg/L",24.5981,-81.1837,0
"50842","SFER","10","03/19/2022 04:39:00","Dissolved_Oxygen__CTD_",7.4652,"mg/L",24.7891,-80.86,0
"50872","SFER","12","03/19/2022 05:33:00","Dissolved_Oxygen__CTD_",6.3233,"mg/L",24.7132,-80.8321,0
"50892","SFER","9.5","03/19/2022 06:44:00","Dissolved_Oxygen__CTD_",6.3903,"mg/L",24.717,-80.6896,0
"509110","SFER","9","03/19/2022 07:26:00","Dissolved_Oxygen__CTD_",6.3835,"mg/L",24.7637,-80.7236,0
"50932","SFER","7","03/19/2022 08:06:00","Dissolved_Oxygen__CTD_",6.437,"mg/L",24.8176,-80.7557,0
"50982","SFER","MR","03/19/2022 11:28:00","Dissolved_Oxygen__CTD_",6.38,"mg/L",25.0044,-80.3718,0
"510011","SFER","6.5","03/19/2022 12:27:00","Dissolved_Oxygen__CTD_",6.37,"mg/L",25.0522,-80.2862,0
"51042","SFER","EKOFF","03/19/2022 17:01:00","Dissolved_Oxygen__CTD_",6.357,"mg/L",25.2942,-80.1618,0
"51062","SFER","EKMID","03/19/2022 17:33:00","Dissolved_Oxygen__CTD_",7.123,"mg/L",25.315,-80.1947,0
"51072","SFER","EKIN","03/19/2022 18:06:00","Dissolved_Oxygen__CTD_",7.041,"mg/L",25.3353,-80.2238,0
"51092","SFER","3","03/19/2022 22:04:00","Dissolved_Oxygen__CTD_",6.5962,"mg/L",25.6454,-80.0847,0
"511010","SFER","2","03/19/2022 22:30:00","Dissolved_Oxygen__CTD_",7.2636,"mg/L",25.6418,-80.1056,0
"51142","SFER","2","05/21/2022 10:10:00","Dissolved_Oxygen__CTD_",5.838,"mg/L",25.6432,-80.1064,0
"51222","SFER","MR","05/21/2022 18:43:00","Dissolved_Oxygen__CTD_",5.967,"mg/L",25.0037,-80.3713,0
"51262","SFER","7","05/21/2022 22:23:00","Dissolved_Oxygen__CTD_",6.1331,"mg/L",24.817,-80.7648,0
"51292","SFER","9","05/21/2022 23:08:00","Dissolved_Oxygen__CTD_",6.055,"mg/L",24.764,-80.7236,0
"513110","SFER","9.5","05/21/2022 23:54:00","Dissolved_Oxygen__CTD_",5.9956,"mg/L",24.716,-80.6909,0
"51332","SFER","12","05/22/2022 01:34:00","Dissolved_Oxygen__CTD_",5.9379,"mg/L",24.7135,-80.8346,0
"51352","SFER","10","05/22/2022 02:28:00","Dissolved_Oxygen__CTD_",5.7471,"mg/L",24.7881,-80.8624,0
"514110","SFER","18","05/22/2022 07:01:00","Dissolved_Oxygen__CTD_",5.8396,"mg/L",24.5997,-81.1872,0
"51442","SFER","16","05/22/2022 07:57:00","Dissolved_Oxygen__CTD_",5.491,"mg/L",24.6716,-81.2037,0
"51482","SFER","21LK","05/22/2022 10:52:00","Dissolved_Oxygen__CTD_",5.86,"mg/L",24.5327,-81.4128,0
"515110","SFER","WS","05/22/2022 15:16:00","Dissolved_Oxygen__CTD_",5.715,"mg/L",24.4745,-81.7135,0
"51572","SFER","KW1","05/22/2022 19:09:00","Dissolved_Oxygen__CTD_",5.943,"mg/L",24.655,-81.9052,0
"51592","SFER","KW2","05/22/2022 19:57:00","Dissolved_Oxygen__CTD_",6.204,"mg/L",24.7277,-81.9186,0
"51622","SFER","KW4","05/22/2022 22:39:00","Dissolved_Oxygen__CTD_",6.0452,"mg/L",25.013,-82.0419,0
"51642","SFER","30","05/23/2022 02:23:00","Dissolved_Oxygen__CTD_",6.2652,"mg/L",25.3996,-82.2098,0
"51672","SFER","31","05/23/2022 06:31:00","Dissolved_Oxygen__CTD_",5.956,"mg/L",25.742,-81.9458,0
"51702","SFER","33","05/23/2022 08:47:00","Dissolved_Oxygen__CTD_",5.478,"mg/L",25.9083,-81.8029,0
"51732","SFER","CAL5","05/23/2022 13:08:00","Dissolved_Oxygen__CTD_",6.088,"mg/L",26.1824,-82.2136,0
"51752","SFER","CAL4","05/23/2022 14:16:00","Dissolved_Oxygen__CTD_",5.942,"mg/L",26.2536,-82.1418,0
"51772","SFER","CAL3","05/23/2022 15:48:00","Dissolved_Oxygen__CTD_",5.821,"mg/L",26.3426,-82.0443,0
"51792","SFER","CAL2","05/23/2022 16:28:00","Dissolved_Oxygen__CTD_",5.725,"mg/L",26.3857,-82.0015,0
"51802","SFER","CAL1","05/23/2022 17:10:00","Dissolved_Oxygen__CTD_",5.746,"mg/L",26.4237,-81.9617,0
"518110","SFER","RP1","05/23/2022 20:04:00","Dissolved_Oxygen__CTD_",6.1943,"mg/L",26.5477,-82.2149,0
"51832","SFER","RP2","05/23/2022 20:30:00","Dissolved_Oxygen__CTD_",5.9572,"mg/L",26.5542,-82.2562,0
"51852","SFER","RP3","05/23/2022 21:13:00","Dissolved_Oxygen__CTD_",6.2027,"mg/L",26.5523,-82.3325,0
"51872","SFER","RP4","05/23/2022 22:34:00","Dissolved_Oxygen__CTD_",6.2574,"mg/L",26.5786,-82.4978,0
"51892","SFER","GP5","05/24/2022 00:20:00","Dissolved_Oxygen__CTD_",6.1474,"mg/L",26.5968,-82.6936,0
"519110","SFER","BG4","05/24/2022 01:34:00","Dissolved_Oxygen__CTD_",6.3253,"mg/L",26.6273,-82.5568,0
"51932","SFER","BG3","05/24/2022 03:00:00","Dissolved_Oxygen__CTD_",6.2226,"mg/L",26.6688,-82.418,0
"51952","SFER","BG2","05/24/2022 03:48:00","Dissolved_Oxygen__CTD_",6.1145,"mg/L",26.6891,-82.3412,0
"51972","SFER","BG1","05/24/2022 04:46:00","Dissolved_Oxygen__CTD_",5.812,"mg/L",26.7101,-82.2668,0
"51992","SFER","V1","05/24/2022 08:50:00","Dissolved_Oxygen__CTD_",5.933,"mg/L",27.1067,-82.4778,0
"520110","SFER","V2","05/24/2022 09:33:00","Dissolved_Oxygen__CTD_",6.216,"mg/L",27.0733,-82.547,0
"52032","SFER","V3","05/24/2022 10:20:00","Dissolved_Oxygen__CTD_",6.248,"mg/L",27.0373,-82.6128,0
"52052","SFER","V4","05/24/2022 11:06:00","Dissolved_Oxygen__CTD_",6.373,"mg/L",26.9942,-82.684,0
"52072","SFER","V5","05/24/2022 11:56:00","Dissolved_Oxygen__CTD_",6.368,"mg/L",26.9594,-82.748,0
"52092","SFER","V6","05/24/2022 12:49:00","Dissolved_Oxygen__CTD_",6.313,"mg/L",26.9193,-82.8217,0
"521110","SFER","V7","05/24/2022 13:42:00","Dissolved_Oxygen__CTD_",6.186,"mg/L",26.879,-82.8874,0
"52132","SFER","V8","05/24/2022 14:33:00","Dissolved_Oxygen__CTD_",6.163,"mg/L",26.8357,-82.954,0
"52152","SFER","V9","05/24/2022 16:13:00","Dissolved_Oxygen__CTD_",6.193,"mg/L",26.7307,-83.0998,0
"52172","SFER","AMI9","05/24/2022 20:36:00","Dissolved_Oxygen__CTD_",6.1755,"mg/L",27.1893,-83.5003,0
"52192","SFER","AMI8","05/24/2022 21:32:00","Dissolved_Oxygen__CTD_",6.0968,"mg/L",27.2292,-83.4122,0
"522110","SFER","AMI7","05/24/2022 22:36:00","Dissolved_Oxygen__CTD_",6.1693,"mg/L",27.2648,-83.3139,0
"52232","SFER","AMI6","05/24/2022 23:27:00","Dissolved_Oxygen__CTD_",6.2206,"mg/L",27.3053,-83.221,0
"52252","SFER","AMI5","05/25/2022 00:23:00","Dissolved_Oxygen__CTD_",6.1867,"mg/L",27.3429,-83.1308,0
"52272","SFER","AMI4","05/25/2022 01:17:00","Dissolved_Oxygen__CTD_",6.3172,"mg/L",27.3813,-83.0355,0
"52292","SFER","AMI3","05/25/2022 02:19:00","Dissolved_Oxygen__CTD_",6.3664,"mg/L",27.4212,-82.9414,0
"523110","SFER","AMI2","05/25/2022 03:20:00","Dissolved_Oxygen__CTD_",6.0655,"mg/L",27.4589,-82.8464,0
"52322","SFER","AMI1","05/25/2022 04:27:00","Dissolved_Oxygen__CTD_",6.0081,"mg/L",27.4995,-82.7546,0
"52332","SFER","TB1","05/25/2022 07:29:00","Dissolved_Oxygen__CTD_",6.0028,"mg/L",27.8035,-82.8829,0
"52352","SFER","TB2","05/25/2022 08:25:00","Dissolved_Oxygen__CTD_",6.081,"mg/L",27.7419,-82.9328,0
"52372","SFER","TB3","05/25/2022 09:40:00","Dissolved_Oxygen__CTD_",6.208,"mg/L",27.6733,-83.0022,0
"52392","SFER","TB4","05/25/2022 10:54:00","Dissolved_Oxygen__CTD_",6.213,"mg/L",27.6178,-83.1338,0
"524110","SFER","TB5","05/25/2022 12:19:00","Dissolved_Oxygen__CTD_",6.206,"mg/L",27.6179,-83.3,0
"52432","SFER","TB10","05/25/2022 13:53:00","Dissolved_Oxygen__CTD_",6.193,"mg/L",27.6148,-83.4894,0
"52452","SFER","41","05/26/2022 15:03:00","Dissolved_Oxygen__CTD_",5.709,"mg/L",25.7334,-81.5734,0
"52492","SFER","45","05/26/2022 17:30:00","Dissolved_Oxygen__CTD_",5.822,"mg/L",25.5879,-81.4726,0
"525110","SFER","47","05/26/2022 18:27:00","Dissolved_Oxygen__CTD_",4.7061,"mg/L",25.5829,-81.369,0
"52532","SFER","49","05/26/2022 19:12:00","Dissolved_Oxygen__CTD_",6.064,"mg/L",25.5838,-81.2936,0
"52552","SFER","51","05/26/2022 20:41:00","Dissolved_Oxygen__CTD_",6.0953,"mg/L",25.4548,-81.3082,0
"52572","SFER","53","05/26/2022 21:23:00","Dissolved_Oxygen__CTD_",6.1224,"mg/L",25.4532,-81.2354,0
"52582","SFER","57.1","05/26/2022 22:36:00","Dissolved_Oxygen__CTD_",5.9008,"mg/L",25.3537,-81.3396,0
"52592","SFER","57","05/26/2022 23:25:00","Dissolved_Oxygen__CTD_",5.8218,"mg/L",25.3532,-81.2679,0
