Requested report - WIN WAVES
ORGANIZATION ID = 21FLPBCHPROJECT ID - PROJECT NAME = ERMWQ - PBC ERM Ambient Water Quality MonitoringDEP ANALYTE GROUP = General Physical-Chemical | Biological | NutrientsDEP ANALYTE NAME - UNIT = Ammonia (N) - mg/L | Nitrogen- Total Kjeldahl - mg/L | Nitrate (N) - mg/L | Nitrate-Nitrite (N) - mg/L | Nitrite (N) - mg/L | Orthophosphate (P) - mg/L | pH - SU | Phosphorus- Total - mg/L | Salinity - PSU | Turbidity - NTU | Chlorophyll a, free of pheophytin - ug/L | Nitrogen- Total - mg/L | Silica (SiO2) - mg/L | Dissolved Oxygen - mg/L | Temperature, Water - deg C | Chlorophyll a- uncorrected - ug/L | Chlorophyll a- corrected - ug/L
Report Run on APRIL 30, 2025The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191268"|"Turbidity"|"1.7"|""|"NTU"|"0.2"|"0.2"|""|""|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191282"|"Ammonia (N)"|"0.15"|""|"mg/L"|"0.035"|"0.05"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191294"|"Chlorophyll a- corrected"|"12.1"|""|"ug/L"|"1"|"5"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191329"|"Nitrate-Nitrite (N)"|"0.08"|""|"mg/L"|"0.033"|"0.05"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191340"|"Phosphorus- Total"|"0.098"|""|"mg/L"|"0.0028"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191364"|"Orthophosphate (P)"|"0.045"|""|"mg/L"|"0.0038"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0910202027BI1020S"|"Sample"|"09/10/2020 11:20:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"7191375"|"Nitrogen- Total Kjeldahl"|"0.94"|""|"mg/L"|"0.086"|"0.5"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"15"|""|"26 48 45.78"|""|"-80 9 22.19"|"3234B"|"0126202115A2621SB1"|"Field"|"01/26/2021 09:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003252"|"pH"|"6.92"|""|"SU"|""|""|""|""|""|""|""
"21FLPBCH"|"15"|""|"26 48 45.78"|""|"-80 9 22.19"|"3234B"|"0126202115A2621SB1"|"Field"|"01/26/2021 09:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003256"|"Temperature, Water"|"20.9"|""|"deg C"|""|""|""|""|""|""|""
"21FLPBCH"|"15"|""|"26 48 45.78"|""|"-80 9 22.19"|"3234B"|"0126202115A2621SB1"|"Field"|"01/26/2021 09:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003203"|"Dissolved Oxygen"|"1.9"|""|"mg/L"|""|""|""|""|""|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621SC1"|"Field"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003257"|"pH"|"7.22"|""|"SU"|""|""|""|""|""|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621SC1"|"Field"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003213"|"Temperature, Water"|"21"|""|"deg C"|""|""|""|""|""|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621SC1"|"Field"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003232"|"Dissolved Oxygen"|"3.78"|""|"mg/L"|""|""|""|""|""|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003258"|"Orthophosphate (P)"|"0.0038"|""|"mg/L"|"0.0038"|"0.004"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003259"|"Chlorophyll a- corrected"|"2.3"|""|"ug/L"|"1"|"5"|"I"|"Total"|"E84973"|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003273"|"Phosphorus- Total"|"0.03"|""|"mg/L"|"0.0028"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003279"|"Nitrogen- Total Kjeldahl"|"0.76"|""|"mg/L"|"0.086"|"0.5"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003290"|"Nitrate-Nitrite (N)"|"0.033"|""|"mg/L"|"0.033"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003192"|"Turbidity"|"2.3"|""|"NTU"|"0.2"|"0.2"|"Q"|""|"E84973"|""|""
"21FLPBCH"|"16"|""|"26 52 19.61"|""|"-80 14 44.48"|"3234C"|"0126202116A2621S"|"Sample"|"01/26/2021 09:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003198"|"Ammonia (N)"|"0.22"|""|"mg/L"|"0.035"|"0.05"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003241"|"Phosphorus- Total"|"0.072"|""|"mg/L"|"0.0028"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003263"|"Chlorophyll a- corrected"|"10.6"|""|"ug/L"|"1"|"5"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003271"|"Orthophosphate (P)"|"0.0064"|""|"mg/L"|"0.0038"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003296"|"Turbidity"|"3.9"|""|"NTU"|"0.2"|"0.2"|"Q"|""|"E84973"|"[Q] Sample held beyond the accepted holding time."|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003212"|"Ammonia (N)"|"0.11"|""|"mg/L"|"0.035"|"0.05"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003214"|"Nitrogen- Total Kjeldahl"|"0.82"|""|"mg/L"|"0.086"|"0.5"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0126202112AA2621S"|"Sample"|"01/26/2021 10:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003240"|"Nitrate-Nitrite (N)"|"0.24"|""|"mg/L"|"0.033"|"0.05"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"24"|""|"26 35 16.02"|""|"-80 4 41.93"|"3256A"|"0126202124A2621SE1"|"Field"|"01/26/2021 13:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003292"|"Dissolved Oxygen"|"6.32"|""|"mg/L"|""|""|""|""|""|""|""
"21FLPBCH"|"24"|""|"26 35 16.02"|""|"-80 4 41.93"|"3256A"|"0126202124A2621SE1"|"Field"|"01/26/2021 13:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003190"|"Temperature, Water"|"22.3"|""|"deg C"|""|""|""|""|""|""|""
"21FLPBCH"|"24"|""|"26 35 16.02"|""|"-80 4 41.93"|"3256A"|"0126202124A2621SE1"|"Field"|"01/26/2021 13:00:00"|"AQUEOUS-Surface Water"|"Field Testing-Discrete"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8003193"|"pH"|"7.83"|""|"SU"|""|""|""|""|""|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457320"|"Chlorophyll a- corrected"|"1"|""|"ug/L"|"1"|"5"|"I"|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457321"|"Turbidity"|"9.2"|""|"NTU"|"0.2"|"0.2"|""|""|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457332"|"Orthophosphate (P)"|"0.0098"|""|"mg/L"|"0.0038"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457223"|"Phosphorus- Total"|"0.089"|""|"mg/L"|"0.0028"|"0.004"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457224"|"Nitrate-Nitrite (N)"|"0.033"|""|"mg/L"|"0.033"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457301"|"Ammonia (N)"|"0.035"|""|"mg/L"|"0.035"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"27B"|""|"26 32 18.98"|""|"-80 12 18.7"|"3256B"|"0519202127BE19215"|"Sample"|"05/19/2021 13:45:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"8457314"|"Nitrogen- Total Kjeldahl"|"0.97"|""|"mg/L"|"0.086"|"0.5"|""|"Total"|"E84973"|""|""
"21FLPBCH"|"37B"|""|"26 40 47.68"|""|"-80 12 9.34"|"3245F"|"0928202137BI2821FCEB"|"Equipment Blank"|"09/28/2021 16:30:00"|"QCMatrix-Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|""|""|""|""|""|"9178453"|"Nitrate-Nitrite (N)"|"0.015"|""|"mg/L"|"0.015"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"37B"|""|"26 40 47.68"|""|"-80 12 9.34"|"3245F"|"0928202137BI2821FCEB"|"Equipment Blank"|"09/28/2021 16:30:00"|"QCMatrix-Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|""|""|""|""|""|"9178473"|"Nitrogen- Total Kjeldahl"|"0.086"|""|"mg/L"|"0.086"|"0.5"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"37B"|""|"26 40 47.68"|""|"-80 12 9.34"|"3245F"|"0928202137BI2821FCEB"|"Equipment Blank"|"09/28/2021 16:30:00"|"QCMatrix-Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|""|""|""|""|""|"9178498"|"Orthophosphate (P)"|"0.0038"|""|"mg/L"|"0.0038"|"0.004"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"37B"|""|"26 40 47.68"|""|"-80 12 9.34"|"3245F"|"0928202137BI2821FCEB"|"Equipment Blank"|"09/28/2021 16:30:00"|"QCMatrix-Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|""|""|""|""|""|"9178431"|"Ammonia (N)"|"0.035"|""|"mg/L"|"0.035"|"0.05"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"37B"|""|"26 40 47.68"|""|"-80 12 9.34"|"3245F"|"0928202137BI2821FCEB"|"Equipment Blank"|"09/28/2021 16:30:00"|"QCMatrix-Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|""|""|""|""|""|"9178440"|"Phosphorus- Total"|"0.0028"|""|"mg/L"|"0.0028"|"0.004"|"U"|"Total"|"E84973"|""|""
"21FLPBCH"|"12A"|""|"26 45 31.43"|""|"-80 5 17.59"|"3242"|"0516202212AE16225"|"Sample"|"05/16/2022 14:10:00"|"AQUEOUS-Surface Water"|"Intermediate Grab"|"PALM BEACH COUNTY (DEPARTMENT OF ENVIRONMENTAL MANAGEMENT)"|"0.5"|"m"|""|""|""|"10570027"|"Turbidity"|"2.5"|""|"NTU"|"0.2"|"0.2"|""|""|"E84973"|""|""
